document_id,document_type,section,field_name,current_value,status,ai_fillable,suggested_value,evidence,care_category
DEMO_SVC01,サービス提供記録,共通・状態確認,予定加算,,,False,,,共通・状態確認
DEMO_SVC01,サービス提供記録,共通・状態確認,予定の変更,,,False,,,共通・状態確認
DEMO_SVC01,サービス提供記録,共通・状態確認,顔色,,,False,,,共通・状態確認
DEMO_SVC01,サービス提供記録,共通・状態確認,発汗,,,False,,,共通・状態確認
DEMO_SVC01,サービス提供記録,共通・状態確認,バイタル,,,False,,,共通・状態確認
DEMO_SVC01,サービス提供記録,共通・状態確認,その他,,,False,,,共通・状態確認
DEMO_SVC01,サービス提供記録,身体介護,排泄,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,身体介護,食事,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,身体介護,入浴・清拭,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,身体介護,身体整容,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,身体介護,移動,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,身体介護,起床・就寝,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,身体介護,服薬・医療,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,身体介護,自立支援,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,身体介護,声掛け・見守り,,,False,,,身体介護
DEMO_SVC01,サービス提供記録,生活援助,清掃,,,False,,,生活援助
DEMO_SVC01,サービス提供記録,生活援助,洗濯,,,False,,,生活援助
DEMO_SVC01,サービス提供記録,生活援助,衣類・寝具,,,False,,,生活援助
DEMO_SVC01,サービス提供記録,生活援助,調理,,,False,,,生活援助
DEMO_SVC01,サービス提供記録,生活援助,買物等,,,False,,,生活援助
DEMO_KEY01,重要事項説明書,基本情報,書類名,重要事項説明書 変更同意書,記載済み,False,,,
DEMO_KEY01,重要事項説明書,基本情報,基準日,2026-06-01,記載済み,False,,,
DEMO_KEY01,重要事項説明書,変更内容,変更内容,サービス提供時間帯の一部変更,記載済み,False,,,
DEMO_KEY01,重要事項説明書,料金変更,料金変更の有無,変更なし,記載済み,False,,,
DEMO_KEY01,重要事項説明書,衛生管理等,衛生管理等の説明,,不足,False,,,
DEMO_KEY01,重要事項説明書,業務継続計画,業務継続計画（BCP）の説明,,不足,False,,,
DEMO_KEY01,重要事項説明書,同意確認,利用者署名,,要確認,False,,原本（紙面）を職員が確認,
DEMO_KEY01,重要事項説明書,同意確認,同意日,,要確認,False,,原本（紙面）を職員が確認,
DEMO_KEY01,重要事項説明書,職員確認,説明者名,サ責A,記載済み,False,,,
DEMO_KEY01,重要事項説明書,職員確認,管理者確認,,要確認,False,,管理者による原本確認が必要,
DEMO_ATT01,出勤簿,基本情報,対象職員,職員B,記載済み,False,,,
DEMO_ATT01,出勤簿,基本情報,対象月,2026年6月,記載済み,False,,,
DEMO_ATT01,出勤簿,勤務実績,出勤日数,20日,記載済み,False,,,
DEMO_ATT01,出勤簿,勤務実績,勤務開始時刻,09:00,記載済み,False,,,
DEMO_ATT01,出勤簿,勤務実績,勤務終了時刻,18:00,記載済み,False,,,
DEMO_ATT01,出勤簿,確認,管理者確認,,要確認,False,,出勤実績は事実確認が必要なため職員が原本を確認,
DEMO_INF01,感染症対策マニュアル,基本情報,最終更新日,2025-07-01,記載済み,False,,,
DEMO_INF01,感染症対策マニュアル,運用体制,感染発生時の報告フロー,報告フロー図あり（別紙）,記載済み,False,,,
DEMO_INF01,感染症対策マニュアル,運用体制,標準予防策の記載,記載済み,記載済み,False,,,
DEMO_INF01,感染症対策マニュアル,周知・更新,職員周知記録,,不足,False,,研修記録との突合が必要,
DEMO_INF01,感染症対策マニュアル,周知・更新,更新確認,,要確認,False,,事業所方針・実際の運用確認が必要,
DEMO_LIC01,資格証,基本情報,職員名,職員A,記載済み,False,,,
DEMO_LIC01,資格証,資格情報,資格名,介護職員初任者研修,記載済み,False,,,
DEMO_LIC01,資格証,資格情報,有効期限,2026-05-31,要確認,False,,有効期限切れの可能性があり原本確認が必要,
DEMO_LIC01,資格証,確認,原本確認,,要確認,False,,資格証原本の職員確認が必要,
DEMO_LIC01,資格証,確認,管理者確認,,要確認,False,,管理者による確認が必要,
DEMO_CON01,利用契約書,基本情報,契約日,2026-04-01,記載済み,False,,,
DEMO_CON01,利用契約書,署名確認,利用者署名,,要確認,False,,原本（紙面）を職員が確認,
DEMO_CON01,利用契約書,署名確認,代理人署名,対象なし,記載済み,False,,,
DEMO_CON01,利用契約書,説明確認,重要事項説明確認,,要確認,False,,重要事項説明書との突合が必要,
DEMO_CON01,利用契約書,説明確認,個人情報同意,,要確認,False,,個人情報同意書との突合が必要,
